Name,Ingredients,link to dish,Making steps
"Суп с рисом, овощами и ягодами","['вода', 'репа', 'морковь', 'луковицы', 'вишня', 'персик', 'барбарис', 'рис', 'зелень укропа', 'соль', 'перец']",/recipes/recipe.php?rid=71296,"Репу, персики и морковь очистить, нарезать кубиками, поместить в кастрюлю, добавить нарезанный кольцами лук и вишню, очищенную от косточек. Ингредиенты залить холодной водой и варить на слабом огне 40 минут. Положить в кастрюлю соль, предварительно перебранный и промытый рис и барбарис. Продолжать варить суп еще 20 минут, после чего блюдо поперчить, посыпать измельченной зеленью укропа и подать к столу."
Анор шарвати – шербет из граната,"['сок гранатовый', 'сахар', 'вода кипяченая', 'ваниль']",/recipes/recipe.php?rid=86213,"Отжатый свежий гранатный сок налить в нержавеющую посуду, в 1 стакане теплой воды растворить сахар и добавить к соку, поставить на огонь, как только закипит, снять с огня, ввести ванилин, плотно закрыть крышкой и охладить до комнатной температуры. Перед подачей на стол можно охладить в холодильнике. Подается после жирных и мясных блюд и как лекарство от расстройства желудка, а иногда и как освежающий прохладительный напиток, вызывающий аппетит."
Варак чучвара (пельмени),"['говядина', 'вода', 'лук репчатый', 'перец чёрный молотый', 'зелень', 'соль', 'мука пшеничная', 'вода', 'молоко кислое']",/recipes/recipe.php?rid=46611,"Мясо пропустить через мясорубку вместе с репчатым луком, добавить воду, соль, перец и перемешать. Пресное тесто раскатать толщиной в 1—2 мм, нарезать на кусочки квадратной формы 30x30 мм, положить фарш и защипать края. Перед подачей чучвару отварить в бульоне, заправить кислым молоком, красным перцем, посыпать зеленью."
Казан-кебаб,"['свинина', 'картофель', 'лук репчатый', 'соль', 'перец чёрный', 'зира', 'масло растительное']",/recipes/recipe.php?rid=144077,"Готовить казан-кебаб мы будем в 12-литровом чугунном казане. Для начала нужно поставить его на печь и раскалить на максимальном огне. Когда казан раскалится, вливаем в него растительное масло на 12-литровый казан потребуется 0,5 л масла. В принципе, не обязательно использовать растительное масло, можно взять любой жир, например сало или курдючный жир, если вы готовите казан-кебаб из баранины.Теперь нужно дождаться, когда масло раскалится до температуры 100 градусов. Произвольно нарезаем репчатый лук мы нарезали полукольцами. Проверяем, раскалилось ли масло. Для этого берем кусочек лука и опускаем его в масло. Если масло начнет шипеть, значит оно достигло нужной температуры. Мы взяли 2 кг картофеля среднего размера, предварительно его почистили и крупные картофелины разрезали на 2 части. Теперь нужно опустить картофель на 1-2 минуты в кипящее масло, чтобы он подрумянился. Он не приготовится за такое короткое время, но корочка у него появится. Так как картофеля много, то нужно разделить его на несколько частей мы разделили на две. Если мы опустим в казан сразу все 2 кг картофеля, то температура резко упадет и не будет происходить процесс образования румяной корочки. Поэтому сначала закладываем половину картофеля, обжариваем, переворачивая шумовкой, и достаем, после чего ее сразу нужно присолить. Жарим таким же образом вторую партию. Ждем, когда масло снова раскалится до температуры свыше 100 градусов. Берем мясо и аккуратно, по стеночкам, опускаем его в казан и сразу перемешиваем. Необходимо, чтобы на мясе сразу образовалась румяная корочка, которая сохранит сочность свинины внутри. Переходим к следующему этапу - закладываем лук. Когда лук слегка начнет пассероваться, нужно удалить лишнее масло из казана, потому что нам ни к чему такое количество жира в готовом блюде. Из 500 г масла после обжаривания у нас осталось 400 г. Нужно убрать 250 г масла, а 150 г по прежнему остаются в казане. Закладываем картофель обратно в казан. Солим 2 щепотки, перчим и добавляем зиру, растирая зерна между ладонями. Вливаем воду 200 мл и накрываем тарелкой, чтобы температура была выше и влага меньше испарялась. Закрываем крышкой. Огонь делаем ниже среднего и готовим казан-кебаб 40 минут. Открывать крышку без надобности не нужно, за 40 минут один раз можно проверить, готово ли блюдо. Казан-кебаб подаем в горячем виде. Приятного аппетита"
Катырма,"['мука', 'вода', 'шкварки', 'лук репчатый', 'соль']",/recipes/recipe.php?rid=111743,"В теплой воде растворяют соль, кладут в нее мелко нашинкованный лук, толченые бараньи шкварки и, постепенно добавляя муку, замешивают однородное без комочков тесто, скатывают его в шар, заворачивают в салфетку и дают полежать 15 минут. Нарезают из теста куски по 200 г и раскатывают их в круглые лепешки толщиной 1 см. Поджаривают лепешки с обеих сторон, прикладывая к раскаленным стенкам котла без добавления жира."
Шашлык из бараньей корейки,"['корейка баранья', 'соль', 'лук', 'сумах']",/recipes/recipe.php?rid=23455,"Взять баранью корейку, порубить на котлетки, посолить крупной солью и оставить в прохладном месте на 2 часа. Мясо расположить на расстоянии около 3 см от углей, во время жарки постоянно обмахивать и часто поворачивать. Сало, покрывающее мясо, должно стать хрустящим жёлто-золотистого цвета. Жарить мясо до полной прожарки, не оставляя текущей из разрезов крови, пока оно не покроется румяной корочкой. К мясу подать лук, тонко нарезанный, промытый под холодной водой и присыпанный сумахом, лепешки или лаваш. Можно подать печеные помидоры и баклажаны с чесноком и перцем."
Карын,"['конина', 'соль']",/recipes/recipe.php?rid=70771,"Карын конский жлудок тщательно промывают холодной водой с солью. Зачищают с внутренней и внешней стороны, дают воде стечь, заливают холодной подсоленной водой и варят в течение 2,5—3 ч. при слабом кипении в открытой посуде, периодически переворачивая. Готовый карын подают нарезанным в холодном виде. Карын и карта могут подаваться вместе с чучуком и натуральными овощами как ассорти мясное."
"Думба-жигар — печень и курдючное сало, отварные","['сало курдючное', 'печень баранья', 'печень говяжья', 'соль', 'перец']",/recipes/recipe.php?rid=85972,"Сало и печень большими кусками Отварить по отдельности, охладить. После этого печень нарезать квадратиками, ромбиками или четырехугольниками шириной по 3—4 см и толщиной по 0,5 см. Сало нарезать такой же формы, как и печень, но кусочками в 2 раза меньшими. При подаче на стол на тарелочки положить слой из кусочков печени, а на них кусочки сала, посыпать мелкой солью и черным перцем. Подать на стол в качестве холодной закуски."
Курица отварная по-узбекски,"['курица', 'лук репчатый', 'зелень петрушки', 'зелень укропа', 'зелень кинзы', 'лавровый лист', 'перец', 'соль']",/recipes/recipe.php?rid=110851,"Подготовленную тушку курицы хорошо промыть холодной водой и посолить снаружи и изнутри. Репчатый лук мелко нарубить и смешать с перцем. В большую кастрюлю налить около трех литров воды, положить туда же смесь из репчатого лука и молотого черного перца. В эту же кастрюлю опустить курицу, разрезанную на две части. Варить на небольшом огне час-полтора, до готовности. Бульон, после того как курица сварится, заправляют зеленью и лавровым листом и дают настояться. Потом холодный бульон можно поставить в холодильник и позднее сделать из него суп или соус. Отваренную курицу тоже охлаждают и подают к столу в холодном виде. С соусом по выбору и салатом."
Кийма-шурпа (суп),"['говядина', 'маргарин', 'рис', 'картофель', 'морковь', 'лук репчатый', 'яйца', 'молоко кислое', 'перец чёрный молотый', 'зелень', 'соль']",/recipes/recipe.php?rid=46609,"В бульон положить сырой картофель, нарезанный чесночком, и варить до полуготовности, затем заправить мелко нарезанными спассерованными луком и морковью. В этом супе сварить фрикадельки. Для кийма фрикадельки мясо дважды пропустить через мясорубку, добавить сырые яйца и заправить солью и перцем. При подаче в шурпу положить припущенный отдельно рис, кислое молоко и посыпать зеленью."
Суюк-ош,"['говядина', 'мука пшеничная', 'масло', 'картофель', 'морковь', 'лук репчатый', 'молоко кислое', 'специи']",/recipes/recipe.php?rid=62938,"Говядину пропустить через мясорубку или порубить посолить, положить в посуду с раскаленным жиром до появления румяной корочки, добавить нарезанные соломкой лук и морковь и продолжать жарить еще 8—10 мин. Затем мясо залить бульоном, дать закипеть и варить при слабом кипении, добавив картофель дольками, домашнюю лапшу, и довести до готовности. При подаче в суп добавить кислое молоко."
Гураоб,"['сок виноградный', 'соль']",/recipes/recipe.php?rid=111809,"Целые кисти незрелого винограда вымывают, пропускают через мясорубку. Полученную массу процеживают в эмалированную или стеклянную посуду через вчетверо сложенную марлю, добавляют соль, размешивают, закрывают крышкой и оставляют на сутки. На другой день сок разливают в сухие бутылки, герметически закупоривают их и развешивают на солнечной стене. Через 34 месяца, когда гураоб покраснеет, он будет готов к употреблению."
Перепела по-узбекски,"['перепел', 'масло топлёное', 'мука', 'специи', 'соль', 'перец']",/recipes/recipe.php?rid=58391,"Выпотрошенные тушки перепелов заливают подсоленной водой и выдерживают в течение 15 мин. Затем снимают с них кожу, обмакивают в топленое масло, посыпают специями и перцем, обваливают в муке и нанизывают на шпажки. Перепелов жарят над раскаленными углями, периодически посыпая тушки мукой."
"Ковурдок — мясо жареное, залитое салом","['мясо', 'сало баранье', 'соль']",/recipes/recipe.php?rid=85966,"Свежую баранину, говядину, козлятину нарезать кусочками по 50—60 г, порубить кости и обильно посолить. Раскалить бараний жир, снять шкварки, положить кусочки мяса и обжарить до образования румяной корочки. Затем мясо положить в эмалированную посуду или в обливной гончарный горшок, залить салом, охладить и плотно закрыть. Из данного соотношения мяса и сала такой деликатес готовится впрок в большом количестве. Ковурдок может храниться несколько месяцев, даже в жаркие дни лета. Подается в качестве холодной закуски с овощными салатами, также используется для приготовления супов и вторых блюд. Это один из древних способов консервирования мяса, возникший среди скоюводческих племен. Из ко-пурдока можно быстро приготовить такую шурпу лук нашинковать очень тонкими кольцами, положить в касу чашу и помять пальцами, накрошить ковурдок на мелкие кусочки, смешать с луком и залить крутым кипятком. Шурпа готова. Ковурдок — отличная трапеза в походах, далеких путешествиях, на пикниках."
Шима,"['говядина', 'лук репчатый', 'чеснок', 'масло растительное', 'томат-пюре', 'уксус', 'яйца', 'специи', 'соль']",/recipes/recipe.php?rid=109236,"Из муки и воды замешивают тесто средней крутости и дают ему расстояться в течение часа. После этого тесто обминают с водой, в которой растворены соль и сода. Готовое тесто разделяют на небольшие кусочки, затем раскатывают их в форме колбасок, смазывают маслом и оставляют на 5 — 10 мин. для набухания. Затем колбаску берут за оба конца и, ударив ее серединой об стол или доску, растягивают тесто. Когда тесто вытянется до 1 м, складывают его вдвое, закручивают жгутом и вновь вытягивают. Эту операцию повторяют до тех пор, пока тесто не превратится в пучок тонких нитей, которые потом нарезают. Приготовленную лапшу отваривают в подсоленной воде, промывают в холодной и откидывают на дуршлаг. Мясо нарезают мелкими кусочками и обжаривают с луком и чесноком, затем добавляют томат-пюре, заливают водой и варят до готовности. Перед подачей лапшу опускают в горячую воду и укладывают в касы, поливают приготовленным соусом, уксусом, а сверху кладут мелко нарезанный омлет."
Настоящий узбекский плов в казане на костре,"['баранина', 'жир курдючный', 'рис', 'морковь', 'лук репчатый', 'чеснок', 'перец острый', 'зира', 'кориандр', 'барбарис сушеный', 'вода', 'соль']",/recipes/recipe.php?rid=146773,"Как приготовить настоящий узбекский плов в казане, на костреПриготовление плова начинается с риса. Его необходимо замочить в соленой воде, температура которой на момент погружения риса составляет примерно 60 градусов, на 2 часа. В моем случае я использую 2 литра воды на 1 кг риса, в ней я заранее растворил 2 ст. ложки соли. На порционные кусочки нарезаем баранину. На произвольные, не крупные кусочки нарезаем курдючный жир. Морковь нарезаем соломкой. Лук нарезаем полукольцами половину луковицы оставляем. Разводим в очаге огонь. Ставим на него казан и как следует разогреваем. Вытапливаем курдючный жир. Извлекаем из казана шкварки. В растопленный жир отправляем половину целой луковицы и даём ей обжариться до образования подгоревшей корочки. Вынимаем луковицу. Отправляем в казан нарезанный полукольцами лук. Обжариваем его до золотистого цвета. Помещаем в казан баранину. Обжариваем мясо с луком в течение 5-7 минут. Выкладываем в казан морковь. Добавляем зиру, молотый кориандр, немного ягод сушеного барбариса и соль. Обжариваем морковь, пока она не станет мягкой. Заливаем в казан 2 литра горячей воды. Оставляем зирвак тушиться при равномерном небурном кипении на 1 час. По истечении первых 40 минут проверяем зирвак. Он должен быть прозрачным, с ярко выраженным желтовато-оранжевым оттенком. Добавляем в зирвак 3 головки чеснока и 2 острых красных перца. Оставляем вариться под крышкой ещё на 20 минут. Примерно за 10 минут до окончания приготовления зирвака промываем рис. Выкладываем его в казан аккуратно, при помощи шумовки. Разравниваем. В моем случае бульон от зирвака полностью покрывает рис, значит добавлять воду нет необходимости. Накрываем казан крышкой и оставляем рис тушиться до готовности. Когда рис будет готов, обратной стороной ложки делаем глубокие отверстия до дна казана и оставляем его открытым, чтобы выпарилась лишняя влага. Когда вся влага выпарится, казан необходимо накрыть крышкой, снять с огня и дать плову настояться около 40 минут. От этого он станет только вкуснее. Теперь узбекский плов полностью готов, и его можно подавать на стол. Приятного аппетита"
Юпка,"['мука', 'вода', 'масло топлёное', 'соль', 'мясо', 'лук репчатый', 'перец', 'соль']",/recipes/recipe.php?rid=111755,"В подсоленную воду всыпают муку и замешивают простое пресное тесто, дают отстояться, затем нарезают кусочками по 50 г, каждый из них раскатывают в очень тонкую лепешку до 1 мм толщиной. Мясо пропускают через мясорубку, добавляют мелко нарезанный лук, соль, черный молотый перец, перемешивают и обжаривают в разогретом масле. Раскаленный котел с шарообразным дном смазывают маслом, опускают в него одну лепешку, обжаривают с обеих сторон, вынимают. Затем кладут вторую лепешку, обжаривают ее с одной стороны, переворачивают, оставляют в котле. Кладут на нее тонкий слой фарша, накрывают первой лепешкой. Сверху опять кладут фарш, накрывают сырой лепешкой и переворачивают вместе с ней всю юпку, чтобы сырое тесто оказалось на дне котла, а поджаренная лепешка вновь была наверху. На эту поджаренную лепешку снова укладывают слой фарша и опять закрывают сырой лепешкой, вновь переворачивают и проделывают так 1012 раз. Выпекают на очень слабом огне, все время смазывая котел маслом. Готовую юпку смазывают маслом, кладут в глубокую миску и закрывают салфеткой на 10 минут."
Димляма,"['баранина', 'картофель молодой', 'лук', 'перец болгарский', 'морковь', 'кабачок', 'помидоры', 'капуста', 'листья', 'чеснок', 'перец острый', 'зелень', 'сало', 'кориандр']",/recipes/recipe.php?rid=118785,"Сало. Мясо. У меня свинина. Лук и морковь. Болгарский перец. Картофель не разрезаем. Помидоры кружками. Кабачок увы, баклажанов не нашёл. Капуста сверху присыпал кориандром. Василёк и зеленый лук. Очень неплохо смотрелась бы кинза. Закрываем димляму листьями капусты."
Машхурда,"['мясо', 'кости', 'жир курдючный', 'масло', 'маш', 'рис', 'лук', 'морковь', 'помидоры', 'барбарис', 'перец красный', 'базилик', 'петрушка', 'куркума', 'соль', 'лавровый лист', 'перец острый']",/recipes/recipe.php?rid=128616,Продукты для машхурды.
Басма,"['баранина', 'сало курдючное', 'лук', 'помидоры', 'морковь', 'баклажан', 'перец сладкий', 'картофель', 'чеснок', 'перец острый', 'капуста белокочанная', 'зелень базилика', 'соль', 'специи']",/recipes/recipe.php?rid=123815," Как приготовить басмуДно казана выстилаем тонкими пластинками курдючного сала. Можно взять любое сало или даже масло - главное, чтобы в первые минуты, когда казан набирает температуру, мясо не прилипло и не пригорело ко дну и стенкам. Да и на вкусе это скажется весьма положительно. Забегая вперед - когда готовое блюдо раскладывала - ни кусочка сала не нашла - все вытопилось. На сало кладем баранину крупными кусками, прижимая стороны с жирком к стенкам. Мясо нужно как следует посолить и приправить - ведь именно оно будет формировать ведущую ноту в получившимся бульоне. Кстати, если вместо баранины будете брать менее яркое по вкусу мясо, его следует положить раза в 1,5-2 больше. Из специй я добавляла растертую в пальцах зиру, черный перец, острый красный перец и щепотку молотого кориандра. Поверх мяса кладем тонко порезанный полукольцами лук. Я предварительно его немного перемешала с солью и сушеным укропом. Лука должно быть именно столько, пусть даже это и кажется чрезмерным. Уверяю, он растворится без остатка Ведь его главная задача - пустить сок, в котором и будет тушиться наша баранина. В конце с ним произойдет то же, что и с луком в плове  , Томатный сок для мяса тоже только на пользу. Так что, поверх лука размещаем помидоры. Свежие хороши сочностью, а для усиления вкуса я добавила столовую ложку сушеных. И базилика сушеного сюда - свежему здесь не место. Но вот ведь незадача - у нас в казане одновременно присутствуют и помидоры, и картошка... Знаете, что будет, если готовить картошку вместе с помидорами Будет резиновая, неугрызаемая картопля. Так что, нам нужно сделать так, чтобы они не контактировали. Поэтому морковь режем тонкими шайбочками и укрываем ею слой томатов. Морковку я посыпала зирой, но на этот раз мелко смолотой. Поверх моркови - слой баклажанов. Я их добавила, потому что люблю. Можно и без них, можно и с ними, и с кабачками. Принцип такой - чем дольше готовятся овощи, тем ниже они должны лежать. Помидоры не в счет, их дело - сок пускать   Скорее по привычке, нежели по необходимости, присолила баклажаны за полчаса до готовки. В любом случае - слои солить не забываем Но не забываем также, что наши овощи будут уменьшаться в размерах. В общем, лорды, сэры, пэры - знайте чувство меры с, Душистые, тверденькие перцы - следующим слоем. Поверх перцев раскладываем картошку, хорошенько посоленную и приправленную - я обваляла ее в сванской соли, а затем еще немного припорошила прованскими травками. Чеснок со срезанным корневищем и острый перчик сюда же. С кочана капусты аккуратно срезаем крупные верхние листы. Оставшийся кочан шинкуем, берем крупную в моем случае морскую соль и жамкаем капусту до некоторой пластичности. Нынче капуста молодая, нежная, так что особо не изуверствуем   Эта процедура еще необходима для уменьшения ее объема, а то и так в казан уже ничего не помещается  Как человек, родившийся на зямле пад белымi крыламi, капусту без тмина я не воспринимаю, поэтому добавила в нее щедрую щепоть, а еще паприки кусочками, паприки молотой и красного перца табаско это для любителей экстрима, остальным можно ограничиться острым красным или вообще одной паприкой. Выкладываем капусту в казан. На самый верх кладем свежую зелень. Она полностью выварится и отдаст свой аромат блюду, так что пучки лучше и не развязывать вовсе. Помните, мы листья капустные откладывали Вы их не сожрали еще Не надо, нам ими нужно накрыть весь тот пазл, который мы старательно выкладывали. Чтобы не упустить ни капельки ароматного пара, который и будет превращать обычные продукты в маленький шедевр. Название блюда - басма, происходит от глагола придавить. Соответственно, нам нужно чем-то прижать наши овощи. У меня нашлась форма для запекания подходящего размера, можно взять тарелку. Главное, чтобы казан был закупорен абсолютно герметично. По краям формы я выложила полотнятные салфетки как можно плотнее. Казан закрыт. Но для максимальной изоляции пара я сделала так - на крышку водрузила форму для выпечки хлеба кверху дном, на получившуюся площадку поставила сковороду-гриль чугунную, а в нее - кастрюлю, доверху заполненную водой. Уже потом пожалела, что не догадалась запечатлеть эту вавилонскую башню  Ставим казан вначале на средний огонь. Слушаем, когда содержимое закипит. Я еще проверяю, щупая крышку - как только станет теплой, можно убавлять огонь до самого тишайшего. Готовится все будет, в зависимости от качества мяса и объема овощей, 1,5-2-2,5-3 часа. Мой казан стоял на огне 2,5 часа. Во время приготовления никакого кипения в казане быть не должно Одинокий бульк - это максимум, что допустимо. Как понять, что готово По запаху - он будет умопомрачительным  , Казан открываем аккуратно - не стоит обжигаться паром, это крайне болезненно и чревато. Сгребаем сверху капустные листы и распаренную зелень - они свою задачу выполнили. Аккуратно выкладываем картошку - она осталась неразваренной видимо, все же немного повлиял сок от слоя помидоров. Вынимаем чеснок - я его сразу выдавила на тарелку, размяла ложкой и вернула в казан. Перец я выбросила, он был свежий и выварился полностью. Аккуратно достаем мясо, извлекаем кости и режем его на небольшие кусочки. Возвращаем мясо в казан, аккуратно перемешиваем овощи, картошку тоже можем обратно положить. Кладем себе в пиалушку всего понемногу, или, кто любит, - выкладываем на тарелку мясо с овощами, а бульон подаем в отдельной плошке. Вкусно и так, и так.  "
Нохат (нут) с куриной грудкой и шпинатом,"['нут', 'шпинат', 'грудинка', 'помидоры консервированные', 'лук репчатый', 'масло сливочное', 'соль', 'перец', 'зира', 'паприка молотая', 'куркума', 'чили', 'сумах']",/recipes/recipe.php?rid=133434,"За 10-12 часов до начала готовки замочим нохат в теплой подсоленной в воде, добавив 12 ст. ложки соды. Воды лучше налить побольше и посудину взять покрупнее, т.к. нохат напьется воды и раза в три увеличится в объеме. , Под проточной водой хорошенько промоем нохат. Поместим его в подходящую кастрюлю, зальем горячей водой, добавим 12 ст. ложки соли и поставим вариться. Как закипит, снимем пену и уменьшим нагрев.Примерно через час нохат должен быть готов. Проверить его готовность очень просто - выловленная горошина должна легко разминаться между пальцами. Пока варится нохат, время зря терять не будем, а займемся луком. Очистим 4 небольших луковицы и нарежем их перьями, от полюса к полюсу. Поверьте, это важно, Распустим в разогретой сковороде столовую ложку, сливочного масла и начнем обжаривать лук. Обжаривать будем долго и на медленном огне.Лук должен карамелизоваться, но ни в коем случае он не должен подгореть. Чем темнее будет становиться лук, тем меньше делаем нагрев. Стоять рядом с ним не обязательно, а вот помешивать надо регулярно. В другой сковороде, в сливочном масле, слегка обжарим нарезанную брусочками грудинку. Убавим нагрев и добавим 1 ч. ложку паприки и 13 ч. ложки куркумы, пусть масло насытится вкусом и ароматом специй. Не забываем интенсивно перемешивать, чтобы специи не подгорели. Положим в сковороду томаты. Добавим 14 ч. ложки молотого чили и по 13 ч. ложки  молотого черного перца и молотой зиры. Помешивая время от времени деревянной лопаткой, дождемся когда из томатов выпарятся излишки влаги. Добавим вымытые и нарезанные полосками листья шпината. Накроем сковороду крышкой и дадим шпинату потомиться пару минут. Половину нохата  переложим в чашу блендера и измельчим. Чтобы пюре не было густым, добавим из кастрюли немного отвара. Тем временем шпинат уже готов и дело остается за малым, а именно собрать все компоненты блюда воедино. Шумовкой переложим оставшийся нохат из кастрюли в сковороду с грудинкой и шпинатом. Добавим жареный лук, грамм 50 сливочного масла и нохат-пюре. Перемешаем, выправим вкус на соль и прогреем в течение нескольких минут. Если получится очень густо, добавим немного отвара в котором варился нут. Прочь хандра и сумрак  настало время ужина Разложим нохат в красивую подогретую посуду, оторвем кусок лепешки - теперь можно и чайком полакомиться, и беседы вести неспешные."
Пиева (узбекский луковый суп),"['баранина', 'говядина', 'лук репчатый', 'помидоры', 'масло растительное', 'соль', 'перец красный молотый', 'перец чёрный молотый', 'лавровый лист', 'вода']",/recipes/recipe.php?rid=141686,"Подготовьте необходимые ингредиенты для узбекского лукового супа пиева. Количество лука в традиционных рецептах пиевы обычно в 2-3 раза превышает количество мяса, но в этом рецепте лука и мяса поровну.  Мясо лучше выбирать с прослойками сала, чтобы блюдо получилось наваристым и сытным. Как приготовить пиеву узбекский луковый супМясо промойте, обсушите, срежьте с него пленки и жилы. Нарежьте мясо небольшими кусочками. Влейте в казан или толстостенную кастрюлю растительное масло, прогрейте его и обжарьте в нем нарезанное мясо в течение 10-12 минут, помешивая время от времени. Как только мясо покроется румяной корочкой, влейте в казан воду, добавьте лавровый лист и убавьте нагрев до минимального. Томите мясо около 1,5 часа. Как только вы увидите, что жидкость почти выкипела, очистите лук, нарежьте его средними кубиками и добавьте в казан. Тушите мясо с луком минут 20-25. В это время промойте помидоры, вырежьте из них сердцевинку и нарежьте крупными ломтиками или кубиками. Добавьте помидоры в казан, вместе с солью и молотым перцем. Готовьте мясо с луком и помидорами еще минут 10. Долейте в казан кипяток, если необходимо, до нужной густоты супа, но он не должен быть жидким. Готовому луковому супу с мясом и помидорами дайте настояться, примерно 5-10 минут под крышкой. Затем разлейте пиеву узбекский луковый суп в тарелки и подавайте блюдо горячим к столу, с лепешками или лавашом."
